"Oxygen, Dissolved (% Saturation)","Depth, Sample (Field)",Nitrite,"Nitrogen, Total Kjeldahl (TKN)","Solids, Suspended (TSS)",Phosphorus
102.1,200,0.002,0.31,3.6,0.2721640000000019
146.9,140,0.007,0.41,3.6,0.2863100000000019
159.8,150,0.003,0.59,2.6,0.3090139999999989
120.9,180,0.027,0.63,50.1,0.4734189999999957
99.3,120,0.008,0.82,28.6,0.4735489999999957
83.0,130,0.006,0.726,7.9,0.4670559999999941
128.2,305,0.011,0.24,5.7,0.4289519999999957
117.6,550,0.091,2.55,479.0,0.585216999999999
132.9,240,0.021,0.37,3.0,0.2799920000000008
117.0,215,0.021,1.273,16.9,0.501355999999996
102.0,160,0.006,0.82,7.8,0.46697799999999406
122.0,190,0.013,0.31,1.9,0.18931299999999918
110.0,160,0.014,0.69,3.8,0.3233349999999998
105.0,120,0.003,0.91,17.1,0.4857579999999955
124.9,180,0.008,0.5,4.0,0.2962760000000014
122.1,210,0.004,0.45,8.4,0.4620529999999944
111.0,180,0.007,0.37,3.6,0.28758400000000184
97.0,110,0.005,0.38,5.3,0.4249559999999962
127.0,180,0.069,0.37,3.2,0.28839600000000126
109.0,220,0.007,0.45,3.2,0.290527000000001
141.9,540,0.004,0.53,1.6,0.25511199999999773
111.3,815,0.006,0.18,5.9,0.4348539999999962
154.0,270,0.003,0.38,2.1,0.20809599999999817
111.6,230,0.013,0.5,18.5,0.4717559999999958
101.0,125,0.006,0.76,96.9,0.4736589999999957
80.0,125,0.003,0.93,3.4,0.35882199999999886
107.0,150,0.113,0.75,5.7,0.44096599999999453
127.0,275,0.004,0.46,21.4,0.4681509999999962
153.2,230,0.02,0.61,14.6,0.4734189999999957
122.3,450,0.034,0.65,130.0,0.4736589999999957
119.4,250,0.007,0.3,6.8,0.45837299999999526
110.0,110,0.024,0.44,5.1,0.38225199999999876
135.2,330,0.013,0.49,18.0,0.4710659999999959
113.2,195,0.001,0.35,26.4,0.4668219999999963
134.4,165,0.008,0.36,9.2,0.4741449999999946
110.9,350,0.044,0.96,34.3,0.49057099999999587
118.0,260,0.006,0.34,3.4,0.2859080000000017
121.8,305,0.007,0.56,22.3,0.47329899999999575
155.5,180,0.012,0.5,3.3,0.3011500000000002
127.1,380,0.021,0.66,40.4,0.4736589999999957
96.3,200,0.004,0.88,55.0,0.4747109999999958
