"Oxygen, Dissolved (% Saturation)","Depth, Sample (Field)",Nitrite,"Nitrogen, Total Kjeldahl (TKN)","Solids, Suspended (TSS)",Phosphorus,STATION,LATITUDE,LONGITUDE
112.3,250,0.055,0.91,90.3,0.49,6008000602,43.60505564,-79.55975311
186.7,185,0.018,0.54,1.7,0.27,6008000602,43.60505564,-79.55975311
158.9,350,0.017,0.38,3.4,0.29,6008000602,43.60505564,-79.55975311
130.8,1000,0.039,0.47,2.7,0.27,6008000602,43.60505564,-79.55975311
144.5,190,0.045,0.21,6.3,0.45,6008000602,43.60505564,-79.55975311
123.8,245,0.047,0.7,31.3,0.47,6008000602,43.60505564,-79.55975311
122.7,230,0.007,0.2,5.6,0.43,6008000602,43.60505564,-79.55975311
111.7,245,0.003,4.1,7,1.28,6008000602,43.60505564,-79.55975311
122.3,165,0.022,0.76,8.1,0.47,6008000602,43.60505564,-79.55975311
69.1,100,0.02,0.49,8.8,0.48,6008000602,43.60505564,-79.55975311
142.4,400,0.003,0.58,12.4,0.45,6008000602,43.60505564,-79.55975311
107.2,270,0.01,0.72,13.1,0.47,6008000602,43.60505564,-79.55975311
147.2,170,0.007,0.88,15.4,0.47,6008000602,43.60505564,-79.55975311
131,400,0.028,0.8,7.6,0.47,6008000602,43.60505564,-79.55975311
119.3,360,0.026,3.9,8.3,1.28,6008000602,43.60505564,-79.55975311
106.7,315,0.034,0.85,6.5,0.46,6008000602,43.60505564,-79.55975311
101.1,330,0.015,0.55,23.2,0.47,6008000602,43.60505564,-79.55975311
68.3,410,0.007,0.31,3.4,0.27,6008000602,43.60505564,-79.55975311
143.5,205,0.007,0.44,1.4,0.19,6008000602,43.60505564,-79.55975311
111.3,295,0.016,0.4,1.5,0.19,6008000602,43.60505564,-79.55975311
116.7,600,0.011,0.38,5.6,0.43,6008000602,43.60505564,-79.55975311
135.3,230,0.01,0.47,3.9,0.29,6008000602,43.60505564,-79.55975311
97.9,200,0.038,0.41,5.3,0.43,6008000602,43.60505564,-79.55975311
110,130,0.016,0.96,5.6,0.46,6008000602,43.60505564,-79.55975311
139.5,120,0.016,0.36,2.1,0.21,6008000602,43.60505564,-79.55975311
115.9,610,0.014,0.59,1.7,0.29,6008000602,43.60505564,-79.55975311
114,450,0.091,2.5,570,0.54,6008000602,43.60505564,-79.55975311
107.1,225,0.006,0.8,11.3,0.45,6008000602,43.60505564,-79.55975311
113.6,180,0.016,0.44,2.6,0.25,6008000602,43.60505564,-79.55975311
125.5,225,0.009,0.53,5.9,0.45,6008000602,43.60505564,-79.55975311
92.6,175,0.004,0.73,20.9,0.47,6008000602,43.60505564,-79.55975311
112.5,100,0.032,0.63,14.7,0.47,6008000602,43.60505564,-79.55975311
114.5,240,0.005,0.49,17.6,0.47,6008000602,43.60505564,-79.55975311
163,120,0.026,0.4,3.5,0.29,6008000602,43.60505564,-79.55975311
109.7,280,0.021,0.4,12.3,0.45,6008000602,43.60505564,-79.55975311
103,200,0.012,0.5,16.9,0.47,6008000602,43.60505564,-79.55975311
129.1,335,0.009,0.62,45.1,0.47,6008000602,43.60505564,-79.55975311
135,410,0.012,0.76,113,0.47,6008000602,43.60505564,-79.55975311
132.9,390,0.009,0.54,14.2,0.47,6008000602,43.60505564,-79.55975311
121,390,0.013,0.33,5,0.37,6008000602,43.60505564,-79.55975311
132.4,400,0.012,0.5,12.2,0.45,6008000602,43.60505564,-79.55975311
113.3,220,0.01,0.44,19.6,0.47,6008000602,43.60505564,-79.55975311
102.1,340,0.014,0.22,2.6,0.18,6008000602,43.60505564,-79.55975311
100.7,390,0.006,1.94,190,0.52,6008000602,43.60505564,-79.55975311
113,130,0.01,0.73,64.5,0.47,6008000602,43.60505564,-79.55975311
112.7,270,0.006,0.66,35.5,0.47,6008000602,43.60505564,-79.55975311
113.6,550,0.008,0.66,4.7,0.35,6008000602,43.60505564,-79.55975311
136.4,230,0.018,0.54,11,0.45,6008000602,43.60505564,-79.55975311
135.4,295,0.009,1.67,5.3,0.48,6008000602,43.60505564,-79.55975311
103,480,0.008,1.1,75.8,0.49,6008000602,43.60505564,-79.55975311
141,180,0.001,0.31,2.6,0.22,6008000602,43.60505564,-79.55975311
131.3,345,0.015,0.62,17.8,0.47,6008000602,43.60505564,-79.55975311
115.7,180,0.016,0.53,4.2,0.33,6008000602,43.60505564,-79.55975311
100.3,320,0.003,0.42,9.3,0.47,6008000602,43.60505564,-79.55975311
161.1,90,0.005,0.23,3,0.24,6008000602,43.60505564,-79.55975311
86.6,250,0.003,0.68,4.9,0.39,6008000602,43.60505564,-79.55975311
104,160,0.006,1.46,28.4,0.5,6008000602,43.60505564,-79.55975311
115.9,210,0.008,0.36,3.5,0.29,6008000602,43.60505564,-79.55975311
111.6,280,0.004,1.09,11.6,0.47,6008000602,43.60505564,-79.55975311
163.4,230,0.008,0.63,9.8,0.48,6008000602,43.60505564,-79.55975311
128,295,0.027,0.26,5.2,0.41,6008000602,43.60505564,-79.55975311
126,270,0.008,0.43,4.3,0.3,6008000602,43.60505564,-79.55975311
109,390,0.011,0.53,5,0.39,6008000602,43.60505564,-79.55975311
140.8,425,0.009,0.57,14.8,0.47,6008000602,43.60505564,-79.55975311
102,310,0.006,0.91,99.8,0.49,6008000602,43.60505564,-79.55975311
107.2,500,0.018,1.11,23.5,0.49,6008000602,43.60505564,-79.55975311
130,235,0.008,0.43,6.5,0.45,6008000602,43.60505564,-79.55975311
119.5,320,0.019,0.45,16.5,0.47,6008000602,43.60505564,-79.55975311
108.2,240,0.028,0.47,2.9,0.28,6008000602,43.60505564,-79.55975311
213.1,250,0.029,0.45,4.2,0.3,6008000602,43.60505564,-79.55975311
139.7,240,0.007,0.71,2.7,0.31,6008000602,43.60505564,-79.55975311
113.3,200,0.005,0.31,3.1,0.27,6008000602,43.60505564,-79.55975311
111.1,290,0.023,0.42,8.7,0.47,6008000602,43.60505564,-79.55975311
138.4,200,0.007,0.74,2.1,0.29,6008000602,43.60505564,-79.55975311
149.2,290,0.01,0.55,8.8,0.48,6008000602,43.60505564,-79.55975311
100,430,0.008,0.33,14.7,0.47,6008000602,43.60505564,-79.55975311
95.6,120,0.014,0.43,43.3,0.47,6008000602,43.60505564,-79.55975311
118.5,205,0.004,0.51,3.6,0.31,6008000602,43.60505564,-79.55975311
96.7,265,0.018,0.49,5.2,0.42,6008000602,43.60505564,-79.55975311
144.6,310,0.033,0.25,97.4,0.47,6008000602,43.60505564,-79.55975311
127,210,0.004,0.47,1.4,0.19,6008000602,43.60505564,-79.55975311
106.3,290,0.005,0.42,5.6,0.43,6008000602,43.60505564,-79.55975311
99.9,210,0.006,0.53,10.5,0.47,6008000602,43.60505564,-79.55975311
139.7,215,0.012,0.51,5.7,0.44,6008000602,43.60505564,-79.55975311
141.4,240,0.016,1.24,3.1,0.39,6008000602,43.60505564,-79.55975311
103,460,0.008,0.69,34,0.47,6008000602,43.60505564,-79.55975311
100.4,235,0.003,0.36,8.8,0.47,6008000602,43.60505564,-79.55975311
159.9,270,0.041,0.25,8.9,0.47,6008000602,43.60505564,-79.55975311
105.9,520,0.038,0.64,9.2,0.48,6008000602,43.60505564,-79.55975311
135,275,0.013,0.74,85.6,0.47,6008000602,43.60505564,-79.55975311
112,260,0.007,0.96,111,0.49,6008000602,43.60505564,-79.55975311
111.9,700,0.013,0.4,45.8,0.47,6008000602,43.60505564,-79.55975311
132.1,185,0.02,0.47,11.6,0.45,6008000602,43.60505564,-79.55975311
109,190,0.009,0.32,17.1,0.47,6008000602,43.60505564,-79.55975311
150.8,250,0.012,0.18,2.2,0.15,6008000602,43.60505564,-79.55975311
99.7,350,0.012,0.23,2.9,0.23,6008000602,43.60505564,-79.55975311
115.1,210,0.058,0.47,29.4,0.47,6008000602,43.60505564,-79.55975311
123.8,240,0.013,0.37,27.2,0.47,6008000602,43.60505564,-79.55975311
120,400,0.018,0.29,2,0.18,6008000602,43.60505564,-79.55975311
103.6,380,0.06,0.45,68.6,0.47,6008000602,43.60505564,-79.55975311
122.9,195,0.025,0.45,1.8,0.21,6008000602,43.60505564,-79.55975311
