"Oxygen, Dissolved (% Saturation)","Depth, Sample (Field)",Nitrite,"Nitrogen, Total Kjeldahl (TKN)","Solids, Suspended (TSS)",Phosphorus
113.6,180.0,0.016,0.44,2.6,0.24799200000000007
125.5,225.0,0.009,0.53,5.9,0.44609199999999477
92.6,175.0,0.004,0.73,20.9,0.4736589999999957
112.5,100.0,0.032,0.63,14.7,0.4734189999999957
114.5,240.0,0.005,0.49,17.6,0.4710659999999959
163.0,120.0,0.026,0.4,3.5,0.2860520000000019
109.7,280.0,0.021,0.4,12.3,0.4461119999999967
103.0,200.0,0.012,0.5,16.9,0.4717559999999958
129.1,335.0,0.009,0.62,45.1,0.4734189999999957
135.0,410.0,0.012,0.76,113.0,0.4736589999999957
132.9,390.0,0.009,0.54,14.2,0.4728989999999958
121.0,390.0,0.013,0.33,5.0,0.3731039999999994
132.4,400.0,0.012,0.5,12.2,0.45057999999999615
113.3,220.0,0.01,0.44,19.6,0.46734399999999626
102.1,340.0,0.014,0.22,2.6,0.17727300000000049
100.7,390.0,0.006,1.94,190.0,0.5214189999999976
113.0,130.0,0.01,0.73,64.5,0.4736589999999957
112.7,270.0,0.006,0.66,35.5,0.4736589999999957
113.6,550.0,0.008,0.66,4.7,0.3472729999999987
136.4,230.0,0.018,0.54,11.0,0.4507129999999962
135.4,295.0,0.009,1.67,5.3,0.47671099999999716
103.0,480.0,0.008,1.1,75.8,0.4924649999999959
141.0,180.0,0.001,0.31,2.6,0.22032199999999993
131.3,345.0,0.015,0.62,17.8,0.4734189999999957
115.7,180.0,0.016,0.53,4.2,0.33306399999999975
100.3,320.0,0.003,0.42,9.3,0.4747549999999946
161.1,90.0,0.005,0.23,3.0,0.23692500000000133
86.6,250.0,0.003,0.68,4.9,0.39143399999999773
104.0,160.0,0.006,1.46,28.4,0.5022739999999967
115.9,210.0,0.008,0.36,3.5,0.28777200000000186
111.6,280.0,0.004,1.09,11.6,0.47179499999999636
163.4,230.0,0.008,0.63,9.8,0.48116599999999415
128.0,295.0,0.027,0.26,5.2,0.41152599999999734
126.0,270.0,0.008,0.43,4.3,0.3007350000000018
109.0,390.0,0.011,0.53,5.0,0.390938999999998
140.8,425.0,0.009,0.57,14.8,0.47340099999999574
102.0,310.0,0.006,0.91,99.8,0.4857579999999955
107.2,500.0,0.018,1.11,23.5,0.4933999999999959
130.0,235.0,0.008,0.43,6.5,0.4520699999999955
119.5,320.0,0.019,0.45,16.5,0.4674209999999962
108.2,240.0,0.028,0.47,2.9,0.28297100000000036
