"Oxygen, Dissolved (% Saturation)","Depth, Sample (Field)",Nitrite,"Nitrogen, Total Kjeldahl (TKN)","Solids, Suspended (TSS)",Phosphorus
141.0,180.0,0.001,0.31,2.6,0.22
131.3,345.0,0.015,0.62,17.8,0.47
115.7,180.0,0.016,0.53,4.2,0.33
100.3,320.0,0.003,0.42,9.3,0.47
161.1,90.0,0.005,0.23,3.0,0.24
86.6,250.0,0.003,0.68,4.9,0.39
104.0,160.0,0.006,1.46,28.4,0.5
115.9,210.0,0.008,0.36,3.5,0.29
111.6,280.0,0.004,1.09,11.6,0.47
163.4,230.0,0.008,0.63,9.8,0.48
128.0,295.0,0.027,0.26,5.2,0.41
126.0,270.0,0.008,0.43,4.3,0.3
109.0,390.0,0.011,0.53,5.0,0.39
140.8,425.0,0.009,0.57,14.8,0.47
102.0,310.0,0.006,0.91,99.8,0.49
107.2,500.0,0.018,1.11,23.5,0.49
130.0,235.0,0.008,0.43,6.5,0.45
119.5,320.0,0.019,0.45,16.5,0.47
108.2,240.0,0.028,0.47,2.9,0.28
213.1,250.0,0.029,0.45,4.2,0.3
139.7,240.0,0.007,0.71,2.7,0.31
113.3,200.0,0.005,0.31,3.1,0.27
111.1,290.0,0.023,0.42,8.7,0.47
138.4,200.0,0.007,0.74,2.1,0.29
149.2,290.0,0.01,0.55,8.8,0.48
100.0,430.0,0.008,0.33,14.7,0.47
95.6,120.0,0.014,0.43,43.3,0.47
118.5,205.0,0.004,0.51,3.6,0.31
96.7,265.0,0.018,0.49,5.2,0.42
144.6,310.0,0.033,0.25,97.4,0.47
127.0,210.0,0.004,0.47,1.4,0.19
106.3,290.0,0.005,0.42,5.6,0.43
99.9,210.0,0.006,0.53,10.5,0.47
139.7,215.0,0.012,0.51,5.7,0.44
141.4,240.0,0.016,1.24,3.1,0.39
103.0,460.0,0.008,0.69,34.0,0.47
100.4,235.0,0.003,0.36,8.8,0.47
159.9,270.0,0.041,0.25,8.9,0.47
105.9,520.0,0.038,0.64,9.2,0.48
135.0,275.0,0.013,0.74,85.6,0.47
112.0,260.0,0.007,0.96,111.0,0.49
111.9,700.0,0.013,0.4,45.8,0.47
132.1,185.0,0.02,0.47,11.6,0.45
109.0,190.0,0.009,0.32,17.1,0.47
150.8,250.0,0.012,0.18,2.2,0.15
99.7,350.0,0.012,0.23,2.9,0.23
115.1,210.0,0.058,0.47,29.4,0.47
123.8,240.0,0.013,0.37,27.2,0.47
120.0,400.0,0.018,0.29,2.0,0.18
103.6,380.0,0.06,0.45,68.6,0.47
122.9,195.0,0.025,0.45,1.8,0.21
107.0,275.0,0.009,0.4,4.8,0.31
111.7,140.0,0.014,0.43,3.6,0.29
109.0,180.0,0.027,0.36,6.2,0.45
111.0,340.0,0.021,0.24,9.8,0.47
128.7,180.0,0.06,0.77,2.5,0.3
113.0,200.0,0.012,0.39,2.0,0.21
130.0,175.0,0.006,0.34,3.5,0.29
122.1,225.0,0.053,0.36,8.2,0.46
102.0,170.0,0.046,1.5,14.5,0.5
131.0,195.0,0.009,0.78,2.7,0.31
121.3,270.0,0.555,0.61,25.4,0.44
137.5,260.0,0.014,0.65,4.3,0.34
128.2,235.0,0.016,0.51,19.5,0.47
109.0,320.0,0.064,0.74,87.7,0.47
143.0,190.0,0.096,0.61,4.3,0.34
84.0,225.0,0.011,0.55,2.1,0.28
127.4,295.0,0.002,0.33,5.5,0.43
107.0,280.0,0.012,0.18,4.1,0.26
114.8,405.0,0.002,0.42,15.9,0.47
108.5,150.0,0.011,0.39,1.4,0.19
110.0,240.0,0.012,0.58,13.4,0.47
161.0,150.0,0.012,0.65,6.7,0.46
114.4,200.0,0.001,0.61,3.7,0.33
131.4,320.0,0.042,1.15,6.8,0.5
113.9,330.0,0.108,3.75,7.7,1.28
123.7,320.0,0.006,0.42,6.8,0.46
134.0,215.0,0.079,0.42,2.8,0.27
117.5,350.0,0.005,0.65,6.3,0.46
101.0,200.0,0.019,0.29,66.9,0.47
124.0,320.0,0.003,0.39,9.4,0.47
106.0,230.0,0.009,0.3,47.1,0.47
99.1,310.0,0.008,0.61,15.1,0.47
113.3,375.0,0.024,0.37,3.8,0.28
91.6,175.0,0.382,0.58,7.7,0.46
103.0,330.0,0.015,0.63,38.8,0.47
99.2,215.0,0.006,0.5,15.0,0.47
127.5,690.0,0.01,0.36,21.7,0.47
117.1,270.0,0.007,0.45,2.2,0.21
116.0,240.0,0.008,0.63,13.5,0.47
88.0,400.0,0.006,0.42,6.3,0.45
143.0,440.0,0.066,0.42,8.5,0.47
129.1,230.0,0.011,0.61,5.2,0.43
79.0,260.0,0.01,0.42,6.9,0.46
131.1,190.0,0.009,0.69,19.4,0.47
124.1,215.0,0.006,0.5,6.9,0.47
157.0,180.0,0.017,0.39,5.0,0.37
90.5,155.0,0.003,1.1,131.0,0.49
122.4,210.0,0.012,0.92,51.4,0.49
121.4,170.0,0.028,1.65,9.9,0.52
111.7,120.0,0.016,0.66,161.0,0.47
109.1,480.0,0.416,0.79,140.0,0.46
101.0,110.0,0.014,0.89,30.7,0.49
144.1,380.0,0.096,0.38,12.9,0.47
107.5,340.0,0.007,0.8,16.6,0.47
81.4,225.0,0.004,0.37,6.7,0.46
114.7,315.0,0.003,0.21,10.3,0.47
108.4,280.0,0.018,0.21,6.4,0.45
116.0,465.0,0.025,0.53,13.3,0.47
134.6,450.0,0.36,0.65,62.3,0.46
90.0,500.0,0.004,0.62,59.0,0.47
138.1,145.0,0.019,0.47,3.2,0.29
138.0,370.0,0.009,0.44,20.9,0.47
112.9,295.0,0.02,0.61,8.6,0.48
